channel_title,description,TotalViews,subscribers,total_videos,accountCreated,videoTitle,publishedDate,views,likes,duration,comments,durationSecs,ChannelImage,channel_image_big,channel_image_medium
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,"Tech Q&A Session November 2024 - AI, Mac m4, Windows Laptops & More",2024-11-13T07:49:26Z,23076,1084,PT28M15S,127,1695,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Review of Sony Bravia Theater Bar 8 Premium Soundbar,2024-11-07T07:40:55Z,49218,1035,PT12M56S,98,776,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,iPhone 16 Pro User Review after 30 days of usage - The Good & Bad,2024-10-29T12:35:12Z,161026,4826,PT27M40S,531,1660,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Apple Watch Series 10 Practical Review after 30 days use,2024-10-22T07:30:18Z,45616,1347,PT22M15S,156,1335,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Sonos Ace Review - Best Premium Headphones in the Market?,2024-10-16T06:38:15Z,21213,748,PT21M12S,87,1272,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Asus Zenbook S14 with intel Lunar Lake - Best Windows Ultrabook?,2024-10-01T06:53:39Z,45113,1185,PT13M1S,149,781,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Major Problem with modern Smartphones - Industry needs to address,2024-09-25T06:52:30Z,288885,19214,PT13M35S,2849,815,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,"iPhone 16 Pro Setup & WhatsApp Migration, Initial Impressions (Retail Unit)",2024-09-23T06:55:24Z,177710,4715,PT17M16S,518,1036,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Motorola Edge50 Neo Unboxing & Overview - Practical Mid Ranger,2024-09-16T07:03:15Z,174955,5068,PT15M56S,774,956,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
Geekyranjit,"Thanks for making this channel the Biggest and most Subscribed English Tech Channel in India! Here you would find Reviews on Gadgets & Smartphones and how to effectively use them in your daily life.

I have been working with computers for over 30 years and being a resident geek I have lot's to share, I have been posting videos on this channel from 2011 so be sure you are subscribed to my Youtube channel, it's free to Subscribe  :)

For Advertising / other business related enquiries you can mail me via the email listed below, PLEASE NOTE IGNORE e-mails sent to you from any non ""@geekyranjit.com"" e-mail addresses might be from SCAMMERS!  

[DO NOT EMAIL ME regarding any tech support / buying queries those emails will not be answered.]",840206392,3300000,3357,2011-01-06T13:03:11Z,Pixel 9 Pro Fold Review - The Good & The Bad,2024-09-14T08:42:43Z,65280,1716,PT24M41S,174,1481,,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s800-c-k-c0x00ffffff-no-rj,https://yt3.ggpht.com/ytc/AIdro_mBCGGoIIr8ZiS4VStRD629GxasSwkNlcv8CKtdguxwKqQ=s240-c-k-c0x00ffffff-no-rj
